Country,Confirmed,Deaths,Recovered,Active,Recovery_rate,Death_rate,Continent,Population
Ethiopia,15126,233,6556,7933,43.899085722142026,1.5673334708187256,Africa,115223736.0
Fiji,27,0,18,9,66.66666666666666,0.0,Australia/Oceania,897095.0
Finland,7403,329,6920,149,93.53879426872128,4.447147877804812,Europe,5541604.0
France,222903,30229,81479,108928,36.855576532094105,13.71079000871333,Europe,65288306.0
Gabon,7394,49,4901,2458,65.12727778550563,0.6815968841285297,Africa,2230563.0
Gambia,375,10,72,252,20.245398773006134,2.4539877300613497,Africa,2422754.0
Georgia,1143,16,924,199,81.09058927000879,1.4072119613016711,Asia,3988368.0
Germany,207557,9126,190573,7673,91.88941249179187,4.405828730348796,Europe,83811260.0
Ghana,34279,168,30108,3655,88.63014513442778,0.4996431120628123,Africa,31133483.0
Greece,4261,202,1374,2651,32.50532292405961,4.778802933522592,Europe,10417673.0
Greenland,15,0,13,1,92.85714285714286,0.0,North America,56780.0
Grenada,23,0,23,0,100.0,0.0,North America,112576.0
Guatemala,45565,1788,33298,11093,71.63036041404578,3.886645037409786,North America,17946899.0
Guinea,7102,47,6362,753,88.6888731396173,0.6378454996456413,Africa,13164905.0
Guinea-Bissau,1954,26,803,1125,41.095189355168884,1.3306038894575232,Africa,1972277.0
Guyana,408,20,181,188,46.52956298200514,5.141388174807198,South America,786936.0
Haiti,7365,159,4365,2817,59.46866485013624,2.1525885558583107,North America,11416103.0
Honduras,40206,1216,5156,33536,12.679600412672052,2.933997634684583,North America,9919704.0
Hungary,4461,596,3329,523,74.84262589928058,13.399280575539569,Europe,9657785.0
